emp_no,salary,from_date,to_date
10149,59498,2021-01-01,2021-12-31
10149,62247,2022-01-01,2022-12-31
10149,65879,2023-01-01,2023-12-31
10150,50396,2016-01-01,2016-12-31
10150,51930,2017-01-01,2017-12-31
10150,55987,2018-01-01,2018-12-31
10150,59436,2019-01-01,2019-12-31
10150,63937,2020-01-01,2020-12-31
10150,68234,2021-01-01,2021-12-31
10150,70512,2022-01-01,2022-12-31
10150,74413,2023-01-01,2023-12-31
